recommendation_id,evidence_key,lead_id,priority_band,priority_score,policy_rank,sla_minutes,action_owner_proposed,recommended_at,expires_at,recommended_action,action_id,action_taken,action_owner,action_at,action_cost,followed_recommendation,separacion_14d,separacion_observed_at,minuta_60d,minuta_observed_at,minutes_to_action,within_sla
5375a4ac-ab7e-57d4-a3f2-58c8de8bf1d1,bd11d2092410e2c3e303a4b2be5670e3,222871,A,9.757854477261962,49,15,SUPERVISOR_COMERCIAL,2026-09-08 00:14:54.201579+00:00,2026-09-09 00:14:54.201579+00:00,CONTACTAR_PRIORIDAD_ALTA,,,,,,,,,,,,False
49226ac2-c4d9-52d9-a4ba-89976c0348cd,4671cd92987df74bdf11b009517172a1,222424,A,7.410194500013407,51,15,SUPERVISOR_COMERCIAL,2026-09-08 00:14:54.201579+00:00,2026-09-09 00:14:54.201579+00:00,CONTACTAR_PRIORIDAD_ALTA,,,,,,,,,,,,False
1d024765-50ea-52ca-ab90-bb6b45ce1dad,e4d179dd1702e4c6132abc49bf28de36,222946,A,4.682264603850564,52,15,SUPERVISOR_COMERCIAL,2026-09-08 00:14:54.201579+00:00,2026-09-09 00:14:54.201579+00:00,CONTACTAR_PRIORIDAD_ALTA,,,,,,,,,,,,False
f7a2354c-ef21-5207-a4ae-fc52a9cacd6c,8b757b994a2417c55cf016431df39752,222230,A,1.5986291833538848,55,15,SUPERVISOR_COMERCIAL,2026-09-08 00:14:54.201579+00:00,2026-09-09 00:14:54.201579+00:00,CONTACTAR_PRIORIDAD_ALTA,,,,,,,,,,,,False
af47774f-c59a-5958-a92f-17574c7b7d01,d46eb00d0388dd9ab01d3b4173174ae3,222877,A,9.757854477261962,56,15,SUPERVISOR_COMERCIAL,2026-09-08 00:14:54.201579+00:00,2026-09-09 00:14:54.201579+00:00,CONTACTAR_PRIORIDAD_ALTA,,,,,,,,,,,,False
ad0c138d-703d-5b1e-ba9e-40feba4fc0e4,f97056235ec05bbf7eadaabd57fb5572,222582,A,9.073681102491488,57,15,SUPERVISOR_COMERCIAL,2026-09-08 00:14:54.201579+00:00,2026-09-09 00:14:54.201579+00:00,CONTACTAR_PRIORIDAD_ALTA,,,,,,,,,,,,False
cdbfbf8d-e685-50e3-a48f-a534e270995b,4e4c9fc22d9215e78c92aab4995568fd,222357,A,7.182631709263789,58,15,SUPERVISOR_COMERCIAL,2026-09-08 00:14:54.201579+00:00,2026-09-09 00:14:54.201579+00:00,CONTACTAR_PRIORIDAD_ALTA,,,,,,,,,,,,False
6b6e8230-aed8-505c-951b-37f78b224743,45e985a271aacca79a588bfcd522390c,222939,A,3.0904610076188774,59,15,SUPERVISOR_COMERCIAL,2026-09-08 00:14:54.201579+00:00,2026-09-09 00:14:54.201579+00:00,CONTACTAR_PRIORIDAD_ALTA,,,,,,,,,,,,False
c9f18ef5-606e-5dd7-9552-c65d2ef2846e,95c91f432d0c7e69b7024ce23b3488f7,222100,A,1.9400249213462804,60,15,SUPERVISOR_COMERCIAL,2026-09-08 00:14:54.201579+00:00,2026-09-09 00:14:54.201579+00:00,CONTACTAR_PRIORIDAD_ALTA,,,,,,,,,,,,False
ed74ed08-043f-5bf9-89fc-ec0fc8c83533,4133b8c16ee5ce1f596207f8b912f45e,221953,A,1.7143402336133828,61,15,SUPERVISOR_COMERCIAL,2026-09-08 00:14:54.201579+00:00,2026-09-09 00:14:54.201579+00:00,CONTACTAR_PRIORIDAD_ALTA,,,,,,,,,,,,False
